url,title,created_date,last_comment,num_comments
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198731,Looking what CNN learns,2020-11-23 03:09:09,2020-11-23 12:48:15,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198679,More digits in the LB,2020-11-22 21:20:50,2020-11-25 00:55:58,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199428,KaggleDatasets().get_gcs_path() Connection error,2020-11-26 02:37:33,2020-11-26 02:50:55,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198584,Incidence of disease in Cassava plants in Africa (and impact on metric choice),2020-11-22 08:33:47,2020-11-22 08:33:47,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199287,[Help needed] How do I pick a the out channels for a simple CNN model?,2020-11-25 16:16:30,2020-11-26 03:28:11,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199066,Training model when internet is disabled ?,2020-11-24 17:03:16,2020-11-25 16:57:41,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198894,Youtube videos relating disease of this competition,2020-11-23 23:03:54,2020-11-23 23:03:54,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199238,Are the size fixed at 600×800 on both public test and private test ?,2020-11-25 10:22:25,2020-11-25 14:26:38,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198725,How to import Keras models without internet for submission notebook?,2020-11-23 02:36:43,2020-11-24 05:24:06,7
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198422,Recreating tfrecords makes score better,2020-11-21 15:57:00,2020-11-21 15:57:00,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198190,Organizer's Baseline for TPU training,2020-11-20 16:11:22,2020-11-21 11:45:26,10
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198832,[Paper] Disease Classification in Eggplant Using Pre-trained VGG16 and MSVM,2020-11-23 16:40:01,2020-11-23 16:40:01,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198530,Which way is the most appropriate for making submission?,2020-11-22 02:17:58,2020-11-22 03:31:15,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198875,"Interesting Dataset on Leaf Disease , For Using Pretrained Models !",2020-11-23 21:55:07,2020-11-23 21:55:07,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198263,Query regarding Test dataset,2020-11-20 22:21:05,2020-11-21 22:59:38,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198721,Making predictions using TF datasets on GPU,2020-11-23 02:15:48,2020-11-23 02:15:48,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198816,submission csv not found,2020-11-23 15:13:28,2020-11-24 08:58:15,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198197,Transfer learning - Which model best suits for cassava leaf classification ?,2020-11-20 16:59:03,2020-11-24 13:45:59,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198839,Any suggestions to improve f1 score,2020-11-23 17:41:37,2020-11-23 23:47:51,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198842,Handling imbalanced datasets,2020-11-23 18:01:16,2020-11-23 18:01:16,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198627,TSNE visualization gone wrong,2020-11-22 14:37:53,2020-11-22 14:37:53,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198174,Submission Score Error,2020-11-20 13:45:11,2020-11-24 01:52:00,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198229,Loading train_images,2020-11-20 19:31:20,2020-11-22 02:28:03,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198200,How to use the FastAI 1.x ? ...,2020-11-20 17:09:22,2020-11-22 21:22:00,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198435,How to import external library?,2020-11-21 16:53:46,2020-11-22 04:21:37,7
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198182,Is the competition metric sensative to class imbalance?,2020-11-20 14:56:27,2020-11-21 23:03:37,5
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198291,Nosedive - EDA cum Image Processing,2020-11-21 00:18:56,2020-11-21 00:18:56,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198198,Is K fold Cross Validation helps for this imbalance problem ?,2020-11-20 17:01:00,2020-11-20 17:18:36,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198159,Papers on Crop Image Detection,2020-11-20 11:06:28,2020-11-20 17:27:05,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198676,New model proposal: Vision Transformer,2020-11-22 20:50:53,2020-11-22 20:50:53,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198476,Is submission from outside? (colab),2020-11-21 21:07:52,2020-11-22 03:25:59,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198177,Different Approaches To Solve This Problem,2020-11-20 14:35:03,2020-11-22 03:03:50,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198230,Image Statistics DATASET Compiled - For EDA,2020-11-20 19:33:44,2020-11-20 19:33:44,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198169,TF Records - introduction resources,2020-11-20 12:21:00,2020-11-20 12:21:00,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198259,Image quality control,2020-11-20 21:59:22,2020-11-21 09:44:55,1
